created at;id;author;title;description;merge status;state;source branch;target branch;references;should remove source branch;merge when pipeline succeeds;has conflicts;diverged commits count;approvals before merge;allow collaboration;approvals required;reviewers;upvotes;downvotes;user notes count;approvals left;participants;approved by;blocking discussions resolved;updated at;merged by;closed at;closed by
Fri Oct 28 12:53:02 MSK 2022;784;iOS Junior;New widgets (iOS16 + watchOS + extra large widget for iPad);;can_be_merged;opened;new-widgets;dev;!68;null;false;false;null;null;null;null;;0;0;0;null;iOS Junior,;;true;Fri Oct 28 13:54:08 MSK 2022;;null;
Wed Oct 12 18:16:14 MSK 2022;769;iOS Lead;Feature rate app;// Оценка запрашивается после позитивного действия // 1) Добавление пользователя в избранное // 2) Отправка заявки на ярмарке проектов // 3) Бронирование аудитории // 4) После заказа справки/отправки миграционного учета  // Ошибка во время сессий блокирует показ оценки // Если юзер не захотел оценивать приложение, следующий запрос придет не ранее, чем через неделю // Оценка запрашивается только если включён фичатоггл;can_be_merged;merged;feature_rate_app;dev;!67;null;false;false;null;null;null;null;;0;0;6;null;iOS Lead,Team Lead,;;true;Fri Oct 14 20:07:51 MSK 2022;iOS Lead;null;
Fri Sep 23 17:53:46 MSK 2022;729;iOS Junior;Add certificates feature;;can_be_merged;merged;feature/certificates;dev;!66;true;false;false;null;null;null;null;;0;0;8;null;iOS Junior,Team Lead,iOS Lead,;;true;Wed Sep 28 12:47:38 MSK 2022;iOS Junior;null;
Thu Sep 08 15:43:58 MSK 2022;712;iOS Junior;voiceover coverage v2;;can_be_merged;merged;LucyRez/voiceoverCoverage;dev;!65;true;false;false;null;null;null;null;;0;0;1;null;iOS Junior,iOS Lead,;;true;Fri Sep 09 17:30:09 MSK 2022;iOS Junior;null;
Wed Sep 07 15:02:52 MSK 2022;708;iOS Junior;Library redesign;;can_be_merged;merged;LucyRez/library-revamp;dev;!64;false;true;false;null;null;null;null;;0;0;9;null;iOS Junior,iOS Middle,iOS Lead,Team Lead,;;true;Wed Sep 14 19:12:54 MSK 2022;iOS Junior;null;
Mon Aug 22 11:02:14 MSK 2022;698;iOS Junior;Change controllers from UIViewController to CollectionViewController;;can_be_merged;merged;LucyRez/change-vcs;dev;!63;false;false;false;null;null;null;null;;0;0;0;null;iOS Junior,iOS Lead,iOS Middle,;;true;Mon Aug 22 15:49:55 MSK 2022;iOS Junior;null;
Tue Aug 09 20:11:19 MSK 2022;692;iOS Junior (left);Good Coverage 👍;;cannot_be_merged;closed;voiceoverCoverage;dev;!62;null;false;true;null;null;null;null;;0;0;0;null;iOS Junior (left),;;true;Thu Sep 08 15:31:53 MSK 2022;;Thu Sep 08 15:31:53 MSK 2022;iOS Lead
Mon Jul 25 18:08:36 MSK 2022;681;iOS Lead;major refac;;can_be_merged;merged;refac;dev;!61;true;false;false;null;null;null;null;;0;0;0;null;iOS Lead,iOS Middle,;;true;Tue Jul 26 14:02:25 MSK 2022;iOS Lead;null;
Fri Jul 15 18:01:05 MSK 2022;677;iOS Junior (left);Revert "dev -> MM";This reverts commit c0a319420e706725b8c3fdb2f986a1a85a284441;can_be_merged;closed;revert-c0a31942;dev;!60;null;false;false;null;null;null;null;;0;0;0;null;iOS Junior (left),;;true;Fri Jul 15 18:12:51 MSK 2022;;Fri Jul 15 18:12:51 MSK 2022;iOS Junior (left)
Wed Jul 13 20:27:51 MSK 2022;676;iOS Lead;Submodules;;can_be_merged;merged;submodules;dev;!59;false;false;false;null;null;null;null;iOS Middle;0;0;2;null;iOS Middle,Team Lead,iOS Lead,;;true;Sun Jul 17 16:57:42 MSK 2022;iOS Middle;null;
